Year,Indirect tax,Direct tax
1972,0.7815858263142609,0.21841417368573918
1973,0.7825641025641026,0.21743589743589745
1974,0.7761428291151659,0.22405336472434767
1975,0.7537437603993343,0.24625623960066556
1976,0.7438079319252393,0.25619206807476064
1977,0.753399433427762,0.24674220963172808
1978,0.7850140056022409,0.21498599439775912
1979,0.7723823975720789,0.2276176024279211
1980,0.7977131865783288,0.2022868134216713
1981,0.7818402356610639,0.21815976433893605
1982,0.7908120150572329,0.20918798494276716
1983,0.7972281587980052,0.20277184120199468
1984,0.8087927029630049,0.19120729703699507
1985,0.8250709555345316,0.17492904446546828
1986,0.834573790040709,0.16542620995929108
1987,0.8536498304479744,0.1463501695520257
1988,0.8216052857693106,0.17839471423068948
1989,0.8428120681112936,0.15718793188870636
1990,0.839382940108893,0.16061705989110708
1991,0.7982184585272325,0.20178154147276758
1992,0.7765709421952482,0.22342905780475167
1993,0.7657205934629272,0.23427940653707272
1994,0.7270880896611024,0.2729119103388976
1995,0.7280049793138799,0.2719950206861202
1996,0.729191790909382,0.27079753684592484
1997,0.7159879588594363,0.2840120411405636
1998,0.6930780109314681,0.3069219890685319
1999,0.6769729712873526,0.3230348247070655
2000,0.6366769600023416,0.3633230399976584
2001,0.6427522990743791,0.35724021208399487
2002,0.6113886365929962,0.3886113634070037
2003,0.5903883796301249,0.4096116203698752
2004,0.5731990498136105,0.4268009501863896
2005,0.5534292395583578,0.4465707604416423
2006,0.5166665717491216,0.4833334282508785
2007,0.47315076658468824,0.5268469583457513
2008,0.4402450605545894,0.5597594508694642
2009,0.40503487129163973,0.5949651287083604
2010,0.4498708472839324,0.5501291527160675
2011,0.4548592806194066,0.5451407193805933
2012,0.4654302532630072,0.5345697467369928
2013,0.441286063437821,0.558713936562179
2014,0.44608046568505394,0.5539206409809488
2015,0.523933394436115,0.476067665149693
2016,0.5266930700980232,0.4733069299019768
2017,0.5080058040700962,0.49199419592990373
2018,0.505019758227642,0.49498024177235794
